supplier_key,supplier_name,award_count,buyer_count,award_amount_pen,average_award_ticket_pen,known_buyer_amount_pen,top_buyer_share_pct,award_hhi,award_item_count,award_item_amount_pen,known_category_item_amount_pen,category_count,top_category_share_pct,contract_count,contract_amount_pen,known_buyer_amount_coverage_pct,known_category_item_amount_coverage_pct,effective_award_count,is_score_eligible,component_award_amount_materiality,component_buyer_dependency,component_category_dependency,component_award_concentration,component_limited_buyer_breadth,score_baseline,rank_baseline,score_dependency_heavy,rank_dependency_heavy,score_materiality_heavy,rank_materiality_heavy,score_balanced_equal,rank_balanced_equal,exposure_band,maximum_absolute_rank_shift,scenario_score_range
5600,SERVICIOS GENERALES ERLON S.A.C.,2,1,320043.8,160021.9,320043.8,100.0,5877.09095015663,2,320043.8,320043.8,1,100.0,0.0,0.0,100.0,100.0,1.701522076961135,True,46.06741573033708,80.0561797752809,75.0,66.85393258426966,79.21348314606742,69.92977528089888,20,73.5252808988764,15,63.63764044943821,41,69.43820224719101,22,HIGHER_RELATIVE,26,9.887640449438194
11221,CORPORACION MAGNOS INGENIEROS E.I.R.L.,2,1,257000.0,128500.0,257000.0,100.0,6220.987448712321,2,257000.0,257000.0,1,100.0,2.0,257000.0,100.0,100.0,1.6074618511037015,True,37.07865168539326,80.0561797752809,75.0,76.96629213483146,79.21348314606742,69.64887640449439,21,73.63764044943821,14,61.55898876404494,46,69.66292134831461,21,HIGHER_RELATIVE,32,12.078651685393268
6851,INGENIERIA PREVENTIVA SOLUCION S.A.C.- INGPREVENSO S.A.C.,2,1,372482.62,186241.31,372482.62,100.0,5254.40473648779,2,372482.62,372482.62,1,100.0,0.0,0.0,100.0,100.0,1.9031651540958978,True,53.37078651685393,80.0561797752809,75.0,52.247191011235955,79.21348314606742,69.1994382022472,22,72.79494382022472,18,64.3679775280899,37,67.97752808988764,28,HIGHER_RELATIVE,19,8.426966292134821
4023,REPRESENTACIONES DECO S.A.C,2,1,1450736.6400000001,725368.3200000001,1450736.6400000001,99.99999999999999,8347.108668511495,2,1450736.6400000001,1450736.6400000001,1,99.99999999999999,2.0,1450736.6400000001,99.99999999999999,99.99999999999999,1.198019625373256,True,85.95505617977528,58.98876404494382,48.87640449438202,94.38202247191012,79.21348314606742,69.18539325842697,23,62.69662921348315,51,75.58988764044945,8,73.48314606741573,7,HIGHER_RELATIVE,44,12.893258426966298
5493,NORDIC PHARMACEUTICAL COMPANY S.A.C,2,1,2375050.0,1187525.0,2375050.0,100.0,6074.384371151405,2,2375050.0,2375050.0,2,73.17740679143597,0.0,0.0,100.0,100.0,1.6462573635432445,True,93.25842696629213,80.0561797752809,30.89887640449438,71.34831460674157,79.21348314606742,69.01685393258428,24,63.258426966292134,50,76.57303370786518,7,70.95505617977528,18,HIGHER_RELATIVE,43,13.314606741573044
8915,JIM & CA SECURITY SOCIEDAD ANONIMA CERRADA,2,1,1590288.8900000001,795144.4450000001,1590288.8900000001,99.99999999999999,7015.6365471450545,2,1590288.8900000001,1590288.8900000001,1,99.99999999999999,0.0,0.0,99.99999999999999,99.99999999999999,1.4253874089400203,True,87.07865168539325,58.98876404494382,48.87640449438202,87.07865168539325,79.21348314606742,68.31460674157303,25,62.07865168539327,54,74.94382022471912,10,72.24719101123597,12,HIGHER_RELATIVE,44,12.86516853932585
5961,GRIFO PAJARITO EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,4,1,836935.8400000001,209233.96000000002,836935.8400000001,100.0,3516.5292758282753,4,836935.8400000001,836935.8400000001,1,100.0,4.0,836935.8400000001,100.0,100.0,2.843712995292673,True,80.89887640449439,80.0561797752809,75.0,7.303370786516854,79.21348314606742,67.96348314606742,26,71.05337078651685,23,68.63764044943821,27,64.49438202247191,35,HIGHER_RELATIVE,12,6.5589887640449405
4886,AMERICA MOVIL PERU S.A.C.,2,2,21809098.0,10904549.0,21809098.0,99.12835459770046,9827.190450954793,2,21809098.0,21809098.0,2,99.12835459770046,0.0,0.0,100.0,100.0,1.0175848376916738,True,99.43820224719101,57.86516853932584,47.752808988764045,99.43820224719101,36.79775280898876,67.7808988764045,27,61.587078651685395,56,77.10674157303372,6,68.25842696629213,27,HIGHER_RELATIVE,50,15.51966292134832
12699,MESSE FRANKFURT EXHIBITION GMBH,2,1,165052.03153720012,82526.01576860006,165052.03153720012,100.0,8232.269671407292,2,165052.03153720012,165052.03153720012,1,100.0,2.0,165052.03153720012,100.0,100.0,1.214731829635328,True,14.606741573033707,80.0561797752809,75.0,93.82022471910112,79.21348314606742,67.68258426966293,28,73.07584269662922,17,55.09831460674158,62,68.53932584269663,26,HIGHER_RELATIVE,45,17.97752808988764
7524,APL SERVICIOS GENERALES E.I.R.L.,2,1,373800.0,186900.0,373800.0,100.0,7071.489118308604,5,373800.0,373800.0,2,92.61637239165329,1.0,66600.0,100.0,100.0,1.4141293061046034,True,53.93258426966292,80.0561797752809,44.943820224719104,87.64044943820225,79.21348314606742,67.1067415730337,29,65.87078651685393,44,65.39325842696628,35,69.15730337078651,23,HIGHER_RELATIVE,21,3.764044943820224
8581,GLASSGOW MEDICAL CORPORATION S.A.C.,2,2,806900.0,403450.0,806900.0,85.74792415417028,7555.828162664622,2,806900.0,691900.0,1,100.0,1.0,115000.0,100.0,85.74792415417028,1.323481660079657,True,79.21348314606742,50.561797752808985,75.0,90.4494382022472,36.79775280898876,67.00842696629213,30,65.28089887640449,45,70.29494382022473,22,66.40449438202248,31,HIGHER_RELATIVE,23,5.014044943820238
12725,"AXN LATIN AMERICA, INC",2,1,204000.0,102000.0,204000.0,100.0,6099.805,2,204000.0,204000.0,1,100.0,2.0,204000.0,100.0,100.0,1.639396669237787,True,26.96629213483146,80.0561797752809,75.0,71.91011235955057,79.21348314606742,66.86797752808988,31,72.12078651685394,20,56.75561797752809,54,66.62921348314606,30,HIGHER_RELATIVE,34,15.36516853932585
7102,TRANS FRES CARGO G & R E.I.R.L.,2,1,268580.0,134290.0,268580.0,100.0,5346.70195957158,2,268580.0,268580.0,1,100.0,0.0,0.0,100.0,100.0,1.8703118437522332,True,38.20224719101124,80.0561797752809,75.0,56.17977528089887,79.21348314606742,66.75561797752809,32,71.67134831460675,21,58.89044943820224,50,65.73033707865169,32,HIGHER_RELATIVE,29,12.780898876404507
12522,QUADRO PERU E.I.R.L.,2,1,470892.0,235446.0,470892.0,100.0,6465.007303497476,2,470892.0,470892.0,2,77.06480466858643,0.0,0.0,100.0,100.0,1.5467886624954228,True,65.73033707865169,80.0561797752809,36.51685393258427,82.58426966292134,79.21348314606742,66.60112359550561,33,63.59550561797753,49,68.08988764044943,29,68.82022471910113,24,HIGHER_RELATIVE,25,5.224719101123604
10600,INTEROCEANICA DISTRIBUYE S.A.C.,2,1,215552.5,107776.25,215552.5,100.0,5397.184401386042,2,215552.5,215552.5,1,100.0,1.0,138152.5,100.0,100.0,1.852817924366623,True,29.775280898876403,80.0561797752809,75.0,58.98876404494382,79.21348314606742,65.49157303370787,34,71.10955056179776,22,55.94101123595506,58,64.6067415730337,34,HIGHER_RELATIVE,36,15.168539325842701
8838,CORPORACION AGUIRRE & HURTADO SOCIEDAD ANONIMA CERRADA,2,1,252586.80000000002,126293.40000000001,252586.80000000002,100.0,5125.643205946624,2,252586.80000000002,252586.80000000002,1,100.0,0.0,0.0,100.0,100.0,1.9509746578533376,True,36.51685393258427,80.0561797752809,75.0,43.258426966292134,79.21348314606742,64.48033707865169,35,70.21067415730337,24,56.27808988764045,55,62.80898876404494,39,HIGHER_RELATIVE,31,13.932584269662925
